ModelID,ScenarioID,TemperatureID,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
20,197,4,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,651.11677759897,651.389186675249,651.661595751529,651.934004827808,652.206413904088,652.139317315739,652.07222072739,652.005124139041,651.938027550692,651.870930962343,651.436569777921,651.002208593499,650.567847409076,650.133486224654,649.699125040232,650.543514579981,651.38790411973,652.232293659479,653.076683199228,653.921072738976,655.433555809463,656.946038879949,658.458521950434,659.971005020921,661.483488091407,661.742864402961,662.002240714516,662.26161702607,662.520993337625,662.780369649179
20,343,5,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,651.11677759897,651.389186675249,651.661595751529,651.934004827808,652.206413904088,652.139317315739,652.07222072739,652.005124139041,651.938027550692,651.870930962343,651.436569777921,651.002208593499,650.567847409076,650.133486224654,649.699125040232,649.850341551336,650.00155806244,650.152774573544,650.303991084648,650.455207595752,651.635773157387,652.816338719022,653.996904280657,655.177469842292,656.358035403927,657.587466688124,658.816897972321,660.046329256518,661.275760540715,662.505191824912
20,165,3,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,651.11677759897,651.389186675249,651.661595751529,651.934004827808,652.206413904088,652.139317315739,652.07222072739,652.005124139041,651.938027550692,651.870930962343,651.436569777921,651.002208593499,650.567847409076,650.133486224654,649.699125040232,650.707660251046,651.71619546186,652.724730672675,653.733265883489,654.741801094303,656.817936948825,658.894072803347,660.970208657869,663.046344512391,665.122480366913,664.864290151271,664.606099935629,664.347909719987,664.089719504345,663.831529288703
20,324,5,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.767893916962,650.691419311233,650.614944705504,650.538470099775,650.461995494046,650.381991181204,650.301986868362,650.22198255552,650.141978242678,650.061973929836,649.928834663663,649.79569539749,649.662556131316,649.529416865143,649.39627759897,649.509589056968,649.622900514966,649.736211972964,649.849523430962,649.96283488896,651.12192568394,652.281016478919,653.440107273898,654.599198068877,655.758288863856,657.091589282266,658.424889700676,659.758190119086,661.091490537496,662.424790955906
25,462,7,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
4,6,1,636.93835854522,637.795727261024,638.653095976827,639.51046469263,640.367833408433,641.225202124236,642.082570840039,642.939939555842,643.797308271645,644.654676987448,645.512045703251,645.602464081107,645.692882458964,645.78330083682,645.873719214676,645.964137592533,646.054559542967,646.144981493402,646.235403443837,646.325825394271,646.416247344706,645.001907779306,643.587568213906,642.173228648506,640.758889083106,639.344549517706,639.325253180554,639.305956843402,639.286660506251,639.267364169099,639.248067831947,641.736642099383,644.225216366818,646.713790634254,649.202364901689,651.690939169125,652.289763394704,652.888587620284,653.487411845863,654.086236071443,654.685060297022
21,436,6,661.987936112005,665.352299847119,668.716663582234,672.081027317348,675.445391052462,678.809754787576,680.913663863856,683.017572940135,685.121482016415,687.225391092694,689.329300168973,690.693540453009,692.057780737045,693.422021021081,694.786261305117,696.150501589154,698.448158271645,700.745814954136,703.043471636627,705.341128319118,707.638785001609,710.00225973608,712.36573447055,714.729209205021,717.092683939492,719.456158673962,718.271134534921,717.08611039588,715.901086256839,714.716062117799,713.531037978758,712.283815255874,711.03659253299,709.789369810106,708.542147087222,707.294924364339,706.842242999678,706.389561635018,705.936880270357,705.484198905697,705.031517541036
25,350,6,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
2,531,8,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
20,158,3,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.60702072739,650.369672932089,650.132325136788,649.894977341487,649.657629546186,649.547422658513,649.43721577084,649.327008883167,649.216801995494,649.106595107821,649.526072932089,649.945550756357,650.365028580624,650.784506404892,651.20398422916,651.506624460895,651.80926469263,652.111904924364,652.414545156099,652.717185387834,654.106532410686,655.495879433537,656.885226456389,658.27457347924,659.663920502092,660.869169005472,662.074417508851,663.27966601223,664.48491451561,665.690163018989
30,182,3,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
21,360,5,661.990727188606,665.360882965884,668.731038743161,672.101194520438,675.471350297715,678.841506074992,680.943378781783,683.045251488574,685.147124195365,687.248996902156,689.350869608948,689.878253580624,690.405637552301,690.933021523978,691.460405495655,691.987789467332,693.491500965562,694.995212463792,696.498923962021,698.002635460251,699.506346958481,701.885469584809,704.264592211136,706.643714837464,709.022837463791,711.401960090119,709.948635339556,708.495310588993,707.041985838429,705.588661087866,704.135336337303,702.421874316061,700.708412294818,698.994950273576,697.281488252333,695.568026231091,694.523368683618,693.478711136144,692.434053588671,691.389396041197,690.344738493724
20,381,6,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,651.11677759897,651.389186675249,651.661595751529,651.934004827808,652.206413904088,652.139317315739,652.07222072739,652.005124139041,651.938027550692,651.870930962343,651.613798229804,651.356665497264,651.099532764725,650.842400032185,650.585267299646,650.580747988413,650.576228677181,650.571709365948,650.567190054715,650.562670743482,651.676554135822,652.790437528162,653.904320920502,655.018204312842,656.132087705182,657.602718023817,659.073348342453,660.543978661088,662.014608979723,663.485239298359
4,15,1,636.93835854522,637.795727261024,638.653095976827,639.51046469263,640.367833408433,641.225202124236,642.082570840039,642.939939555842,643.797308271645,644.654676987448,645.512045703251,645.602464081107,645.692882458964,645.78330083682,645.873719214676,645.964137592533,646.054559542967,646.144981493402,646.235403443837,646.325825394271,646.416247344706,645.001907779306,643.587568213906,642.173228648506,640.758889083106,639.344549517706,639.325253180554,639.305956843402,639.286660506251,639.267364169099,639.248067831947,641.573501015203,643.898934198459,646.224367381715,648.549800564971,650.875233748227,653.208826177949,655.54241860767,657.876011037392,660.209603467114,662.543195896836
20,195,3,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.637130415192,650.429892307692,650.222654200193,650.015416092694,649.808177985195,649.703619343418,649.599060701642,649.494502059865,649.389943418088,649.285384776312,649.30591995494,649.326455133569,649.346990312198,649.367525490827,649.388060669456,649.593566076601,649.799071483746,650.004576890892,650.210082298037,650.415587705182,651.54736971355,652.679151721918,653.810933730286,654.942715738655,656.074497747023,657.281761184422,658.489024621822,659.696288059221,660.903551496621,662.11081493402
4,18,1,636.93835854522,637.795727261024,638.653095976827,639.51046469263,640.367833408433,641.225202124236,642.082570840039,642.939939555842,643.797308271645,644.654676987448,645.512045703251,645.602289586687,645.692533470123,645.782777353559,645.873021236995,645.963265120431,646.181449216063,646.399633311696,646.617817407328,646.83600150296,647.054185598593,645.661134048411,644.26808249823,642.875030948048,641.481979397867,640.088927847685,640.092273476558,640.095619105432,640.098964734305,640.102310363178,640.105655992052,642.373291491216,644.64092699038,646.908562489544,649.176197988708,651.443833487872,653.736999980689,656.030166473506,658.323332966324,660.616499459141,662.909665951958
4,19,1,636.93835854522,637.795727261024,638.653095976827,639.51046469263,640.367833408433,641.225202124236,642.082570840039,642.939939555842,643.797308271645,644.654676987448,645.512045703251,645.042976923077,644.573908142903,644.104839362729,643.635770582556,643.166701802382,646.253223463148,649.339745123914,652.42626678468,655.512788445446,658.599310106212,661.544875700032,664.490441293853,667.436006887673,670.381572481493,673.327138075314,676.272696523978,679.218254972643,682.163813421307,685.109371869971,688.054930318635,687.284154760087,686.513379201538,685.74260364299,684.971828084442,684.201052525893,684.311434029762,684.421815533631,684.532197037499,684.642578541368,684.752960045237
20,99,2,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.609014225941,650.373659929192,650.138305632443,649.902951335694,649.667597038944,649.554599967815,649.441602896685,649.328605825555,649.215608754425,649.102611683296,649.249787608626,649.396963533956,649.544139459285,649.691315384615,649.838491309945,650.158158448664,650.477825587383,650.797492726102,651.117159864821,651.43682700354,652.741832603798,654.046838204055,655.351843804313,656.65684940457,657.961855004828,659.061022948182,660.160190891535,661.259358834889,662.358526778243,663.457694721596
20,193,4,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,651.11677759897,651.389186675249,651.661595751529,651.934004827808,652.206413904088,652.139317315739,652.07222072739,652.005124139041,651.938027550692,651.870930962343,651.436569777921,651.002208593499,650.567847409076,650.133486224654,649.699125040232,650.267075635661,650.835026231091,651.402976826521,651.97092742195,652.53887801738,653.805078274863,655.071278532346,656.337478789829,657.603679047313,658.869879304796,659.581751206952,660.293623109108,661.005495011265,661.717366913421,662.429238815578
27,359,5,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
4,48,2,636.93835854522,637.795727261024,638.653095976827,639.51046469263,640.367833408433,641.225202124236,642.082570840039,642.939939555842,643.797308271645,644.654676987448,645.512045703251,645.600233555393,645.688421407535,645.776609259677,645.86479711182,645.952984963962,647.676563719376,649.400142474789,651.123721230203,652.847299985617,654.57087874103,654.422198512957,654.273518284883,654.12483805681,653.976157828737,653.827477600663,653.979270285901,654.131062971138,654.282855656376,654.434648341614,654.586441026852,655.996962114276,657.407483201701,658.818004289125,660.22852537655,661.639046463975,663.241161597623,664.843276731272,666.44539186492,668.047506998569,669.649622132218
20,177,3,641.989340843257,642.986868941101,643.984397038944,644.981925136788,645.979453234631,646.976981332475,647.750458770518,648.523936208561,649.297413646604,650.070891084648,650.844368522691,650.658890988091,650.473413453492,650.287935918893,650.102458384294,649.916980849694,649.810460862568,649.703940875443,649.597420888317,649.490900901191,649.384380914065,649.390072030898,649.395763147731,649.401454264564,649.407145381397,649.41283649823,649.579118570969,649.745400643708,649.911682716447,650.077964789186,650.244246861925,651.36747969102,652.490712520116,653.613945349211,654.737178178307,655.860411007403,657.099231026714,658.338051046025,659.576871065336,660.815691084648,662.054511103959
2,533,8,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
25,493,7,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72,628.72
4,28,1,636.93835854522,637.795727261024,638.653095976827,639.51046469263,640.367833408433,641.225202124236,642.082570840039,642.939939555842,643.797308271645,644.654676987448,645.512045703251,645.601566096658,645.691086490065,645.780606883472,645.870127276879,645.959647670286,646.707560097113,647.455472523941,648.203384950769,648.951297377597,649.699209804425,648.744035949348,647.788862094271,646.833688239194,645.878514384117,644.92334052904,644.909043648899,644.894746768758,644.880449888617,644.866153008476,644.851856128335,646.735577165193,648.61929820205,650.503019238908,652.386740275765,654.270461312623,656.388259867268,658.506058421913,660.623856976558,662.741655531203,664.859454085848
