ModelID,ScenarioID,Temperature,Year,Total electricity generation,Coal capacity,Gas capacity,Oil capacity,Solar capacity,Wind capacity,Nuclear capacity,Hydro capacity,Biomass capacity,Electricity trade,Storage capacity,Carbon sequestration,Afforestation,GDP,Population,Water consumption,Investments in EST,Investments in ETD,Coal power,Gas power,Oil power,Solar power,Wind power,Nuclear power,Hydropower,Biomass power
2,531,8,2050,64.9127,2295.299,664.5708,0.0011,1176.0414,146.7809,44.6632,564.5912,8.5,-0.20518325715547112,43.3036,2615.2985995625786,390.1263801954022,96603.6167,1255.6465,35.05913982557388,9.136139561218396,239.26890894547282,46.7013,1.8872,,6.7359,1.1929,1.1268,6.9609,0.1672
2,533,8,2050,67.82,2413.4058,529.4221,0.0011,842.7178,341.1021,41.4424,567.1846,8.6257,-0.36354509926767775,3.0751,4532.645010494991,487.5107440601097,97900.0262,1255.6465,34.48149638440928,10.66897950703448,381.2537205268083,49.4758,1.5035,,4.9581,3.5703,1.0455,6.9732,0.1794
2,537,8,2050,68.0215,2471.4806,692.951,0.001,1156.9333,129.0814,44.1336,564.3536,8.5034,-0.3189697581195766,35.2912,4593.003746291174,338.4017944444105,98662.2578,1255.6465,38.1158061309945,6.654540702475105,294.11763687888674,49.9599,1.9677,,6.6569,1.0618,1.1134,6.9598,0.1675
4,6,1,2050,60.1381915357665,388.67838500078636,251.715149898303,23.715957023464647,3393.34735353762,1982.60091400276,547.766284987428,473.901468818928,33.5294117647059,-1.7428906185547,1045.3148970387,690.556933257954,541.661328879531,58056.9317220755,1407.57,34.79081599680775,1.45755383111473,135.612662861729,0.053434422085944,0.555777859476678,,19.3290409736975,18.0763999499186,14.211799408326,6.8750892,0.933606764263545
4,15,1,2050,60.7665785390785,541.727447725495,276.800562224838,23.715957023464647,3397.4979533866,1978.04453282526,547.766284987428,473.901468818929,33.5294117647059,-1.32046414919453,1026.87746100191,711.290899941632,539.296192759256,58074.6112510281,1407.57,35.019085972409286,0.269002924021015,132.042560675017,0.0461824954329598,1.04872791760159,,19.3386624863901,18.0508198792224,14.2746167843998,6.8750892,1.02898135929387
4,18,1,2050,61.1898876728073,1107.8665941865231,273.616028684641,14.02981107075462,3406.02703558388,1999.78853814642,547.530784987429,473.901468818929,33.5294117647059,-0.681227163752017,1019.10671535343,682.883803674138,539.965561593105,58025.3690208095,1407.57,34.92416442367734,10.149568317767889,133.509505974507,0.0393940997771741,1.23919914583925,,19.3870837918405,18.1828618872858,14.2562999864822,6.8750892,1.10659395118283
4,19,1,2050,58.6971559186033,874.4627187453704,156.742284078116,10.825473840883767,3332.86053313313,2361.68322804944,422.893093060048,473.901468818928,33.5294117647059,-0.115406578274545,1110.02376900586,447.006119597856,548.083481025428,55880.8494512213,1407.57,34.51486272882991,4.649663340749,108.358256611784,0.0324133301470126,,,18.9717029241271,20.6574578619655,11.1078006560684,6.8750892,0.946598559210332
4,28,1,2050,60.2747445184522,941.6082120696838,301.903777088937,11.057387707550998,3371.12208072842,2102.54679783078,468.947145580033,473.901468818928,33.5294117647059,-0.809441134968704,1032.15962138231,731.284249650112,541.690568567264,57949.1214219325,1407.57,34.91215626222496,0.438828901854175,131.674031348426,0.0388773594982667,1.6288039758719,,19.1889213821351,19.2026348463463,12.097570714679,6.8750892,1.13973433795087
4,47,1,2050,61.5659121865855,1550.2503827154746,220.712511350435,12.642865008122786,3490.96887745503,2543.77909526257,422.893093060048,473.901468818928,33.5294117647059,-0.252020570971214,1156.12340464851,497.357322526138,543.030006792577,56996.0734105146,1407.57,40.62783146421578,1.53902516193992,124.342948733591,0.0273121018868566,0.566040551170027,,19.8693156165114,21.7970803586368,10.9936516643041,6.8750892,1.33241957261122
4,48,2,2050,60.2356950482399,1095.812647011394,283.752894205004,13.14785728392349,3399.32241283539,2298.15180820704,431.380956984768,473.901468818928,33.5294117647059,-0.96243791152842,1081.64119513006,637.714700321256,541.941227121074,57742.5684860058,1407.57,37.28073052775062,6.11731083948179,136.79696776389,0.0258949827041645,1.26563230612971,,19.3490203075728,20.3007848471999,11.1138756028029,6.8750892,1.20137732437699
4,60,2,2050,59.7571220981699,1550.2503827154746,305.049319105104,12.642865008122786,3357.40186970781,2202.31279056135,428.626533990866,473.901468818928,33.5294117647059,-0.840394879392568,1046.01707016585,754.932515092838,542.720663125436,57856.4146612552,1407.57,40.619322781964804,2.07302293036039,130.689171188584,0.0461824954329598,1.63785850697541,,19.1110290001289,19.7627331014548,11.0779284411555,6.8750892,1.14193745249132
4,137,2,2050,57.6215975318829,1402.088842187127,245.437090956255,20.613581643358994,3239.68568567646,1802.99398090497,542.351717394926,473.901468818928,33.5294117647059,-0.272671576300522,939.61906794995,727.143811101796,536.840807474472,58552.9452242553,1407.57,37.39659888465398,3.50320974831554,135.056882657018,0.0461824954329598,0.938112468316681,,18.4427306801461,16.2733516946757,14.0555528443394,6.8750892,0.887638191569649
4,147,2,2050,59.2573391359911,925.5919513842596,222.385292103477,27.58153230222148,3465.02878555681,3002.50523340718,179.043062726677,473.901468818928,33.5294117647059,0.672050211781659,1249.35722406221,671.377567919137,546.681691736454,57062.6718448929,1407.57,34.301214836410026,28.7022581229159,122.795332559489,0.044209959871343,1.04360208692012,,19.7220485267869,25.9495985898033,4.314705854852,6.8750892,1.21428749740072
7,37,1,2050,61.4670642411225,1095.812647011394,83.44618520396094,13.14785728392349,3313.0215494086,2510.506638710948,201.51498730417924,500.0443292886465,48.65611288617896,-0.33712030735225823,900.3695988956397,817.441048607488,452.6294981074624,57454.4794214403,1407.57,37.28073052775062,10.175958237561158,391.58340540962297,0.0246044994252859,1.11991648598734,,19.7771006891098,22.2578158815486,10.6461927749873,6.8750892,0.626917914772588
11,478,7,2050,58.1036,698.9495,595.0174,0.0011,3846.4811,741.1219,273.0535,393.62,0.1143,-0.3220847607455708,525.6603,6156.952044483473,407.1404167253494,57519.8794,1273.1836,32.29,56.5278,168.5721,14.7777,6.0566,,19.3236,6.9188,6.8888,4.0242,0.0027
11,497,7,2050,58.1036,698.9495,595.0174,0.0011,3846.4811,741.1219,273.0535,393.62,0.1143,-0.3295062969974509,525.6603,6032.135486858392,435.36441017382754,74990.2691740091,1273.1836,32.29,56.5278,168.5721,14.7777,6.0566,,19.3236,6.9188,6.8888,4.0242,0.0027
