ModelID,ScenarioID,TemperatureID,tkID,tkYr,tkUR,edID,edYr,edUR,maxUR
4,6,1,8,2025,0.0519059957255024,33,2050,0.0512145668170494,0.612529585798817
4,15,1,8,2025,0.0519059957255024,33,2050,0.050607133198794,0.612529585798817
4,18,1,8,2025,0.0519060658324816,33,2050,0.0505791565379525,0.612529585798817
4,19,1,8,2025,0.0521317594190504,33,2050,0.0489657054749947,0.612529585798817
4,28,1,8,2025,0.0519063565125668,33,2050,0.0504308264831811,0.612529585798817
7,37,1,0,0,0,0,0,0,0.472692307692308
20,1,1,0,2025,0.0195427551722417,25,2050,0.174172624066714,0.472692307692308
20,60,1,0,2025,0.0195427551722417,25,2050,0.223976539070602,0.472692307692308
4,47,1,8,2025,0.0520498258307248,33,2050,0.0487930947171173,0.612529585798817
20,99,2,0,2025,0.0195424553384936,25,2050,0.0697116038716047,0.472692307692308
4,48,2,8,2025,0.0518877203820755,33,2050,0.0500700824080891,0.612529585798817
20,14,2,0,2025,0.0195427551722417,25,2050,0.147018237743627,0.472692307692308
20,41,2,0,2025,0.0195427551722417,25,2050,0.0971690394069017,0.472692307692308
27,135,2,1,2025,0.0216872823467417,26,2050,0.148157145719459,0.491227810650888
4,137,2,8,2025,0.0518328865808993,33,2050,0.0522769862357855,0.612529585798817
4,147,2,8,2025,0.0519407674444805,33,2050,0.0498066578811704,0.612529585798817
4,60,2,8,2025,0.0518874697916546,33,2050,0.0502660188382042,0.612529585798817
20,165,3,0,2025,0.019466383232881,25,2050,0.095556774876254,0.472692307692308
20,158,3,0,2025,0.0195427551722417,25,2050,0.113432500876306,0.472692307692308
30,182,3,6,2025,0.0202269690800356,13,2032,0.019424067947576,0.140384615384615
20,195,3,0,2025,0.0195382274802477,25,2050,0.0528964324551776,0.472692307692308
20,177,3,0,2025,0.0195349565776867,25,2050,0.0441141922759498,0.472692307692308
20,152,3,0,2025,0.019466383232881,25,2050,0.110866608306749,0.472692307692308
20,101,3,0,2025,0.0195406882257754,25,2050,0.0590291606810964,0.472692307692308
