ModelID,ScenarioID,TemperatureID,tkID,tkYr,tkUR,edID,edYr,edUR,maxUR
4,6,1,10,2025,0.0215446327020705,35,2050,0.0744089850350325,0.612559171597633
4,15,1,10,2025,0.0215126410231132,35,2050,0.074499998977866,0.612559171597633
4,18,1,10,2025,0.0209634603986648,35,2050,0.0746870238484316,0.612559171597633
4,19,1,10,2025,0.0215126410231132,35,2050,0.0730826360216895,0.612559171597633
4,28,1,10,2025,0.020325192243005,35,2050,0.0739216314518117,0.612559171597633
7,37,1,0,0,0,0,0,0,0.612618343195266
20,1,1,14,2025,0.023502293658451,39,2050,0.0877436606438032,0.612618343195266
20,60,1,14,2025,0.023502293658451,39,2050,0.090112334444347,0.612618343195266
4,47,1,10,2025,0.0215126410231132,35,2050,0.0765496201529478,0.612559171597633
20,99,2,14,2025,0.0234328611525305,39,2050,0.0712361481448996,0.612618343195266
4,48,2,10,2025,0.020325192243005,35,2050,0.0745400055441493,0.612559171597633
20,14,2,14,2025,0.023502293658451,39,2050,0.0855507608981668,0.612618343195266
20,41,2,14,2025,0.023502293658451,39,2050,0.0792560564862731,0.612618343195266
27,135,2,10,2025,0.0169259198411872,35,2050,0.0727168333215699,0.612559171597633
4,137,2,10,2025,0.0203267085123407,35,2050,0.071039507185257,0.612559171597633
4,147,2,10,2025,0.020325192243005,35,2050,0.0759808083842824,0.612559171597633
4,60,2,10,2025,0.020325192243005,35,2050,0.0736207760220115,0.612559171597633
20,165,3,14,2025,0.0105995022366459,39,2050,0.0785648890448206,0.612618343195266
20,158,3,14,2025,0.023502293658451,39,2050,0.0825627598456276,0.612618343195266
30,182,3,9,2025,0.0113476602929568,34,2050,0.109045649504429,0.612544378698225
20,195,3,14,2025,0.0224323326901149,39,2050,0.0589956933602316,0.612618343195266
20,177,3,14,2025,0.0216620340321024,39,2050,0.0573124857468643,0.612618343195266
20,152,3,14,2025,0.0105995022366459,39,2050,0.0858057801947198,0.612618343195266
20,101,3,14,2025,0.0230194259275502,39,2050,0.0648931387597579,0.612618343195266
20,184,3,14,2025,0.0105995022366459,39,2050,0.0736991491974388,0.612618343195266
20,178,3,14,2025,0.0209186299447417,39,2050,0.0562704828523814,0.612618343195266
20,192,3,14,2025,0.0234328611525305,39,2050,0.0712361481448996,0.612618343195266
20,205,3,14,2025,0.0212148517673888,39,2050,0.0564364244364529,0.612618343195266
20,172,3,14,2025,0.0228822888343128,39,2050,0.063310268836067,0.612618343195266
20,123,3,14,2025,0.023502293658451,39,2050,0.0869319467590562,0.612618343195266
20,197,4,14,2025,0.0105995022366459,39,2050,0.0710917836154723,0.612618343195266
20,193,4,14,2025,0.0105995022366459,39,2050,0.0619126611700728,0.612618343195266
20,320,4,14,2025,0.019505598193141,39,2050,0.0539782255942461,0.612618343195266
20,303,4,14,2025,0.0105995022366459,39,2050,0.055136591088501,0.612618343195266
20,308,4,14,2025,0.0105995022366459,39,2050,0.0571710924480309,0.612618343195266
20,213,4,14,2025,0.0195921783176914,39,2050,0.0544853828611525,0.612618343195266
20,305,4,14,2025,0.0188791443733006,39,2050,0.05332066046838,0.612618343195266
20,343,5,14,2025,0.0105995022366459,39,2050,0.0525809358828173,0.612618343195266
20,324,5,14,2025,0.0177731799842119,39,2050,0.0524075431979651,0.612618343195266
21,360,5,10,2025,0.0081652332443426,35,2050,0.0680476274037819,0.612559171597633
27,359,5,10,2025,0.0169259198411872,35,2050,0.0631628746673126,0.612559171597633
20,304,5,14,2025,0.0105995022366459,39,2050,0.0540864244364529,0.612618343195266
20,368,5,14,2025,0.0168572910271029,39,2050,0.0514237698447505,0.612618343195266
20,384,5,14,2025,0.0105995022366459,39,2050,0.0532302188404526,0.612618343195266
20,358,5,14,2025,0.0105995022366459,39,2050,0.0525809358828173,0.612618343195266
20,314,5,14,2025,0.0177731799842119,39,2050,0.0524075431979651,0.612618343195266
20,347,5,14,2025,0.0168572910271029,39,2050,0.0514237698447505,0.612618343195266
21,436,6,10,2025,0.00805804555247347,35,2050,0.0443020431348581,0.612559171597633
25,350,6,10,2025,0.00759035887900972,35,2050,0.0630610030781291,0.612559171597633
20,381,6,14,2025,0.0105995022366459,39,2050,0.048506218752741,0.612618343195266
27,383,6,10,2025,0.012996972375727,35,2050,0.0582719087998037,0.612559171597633
25,462,7,10,2025,0.00748622610886655,35,2050,0.041956932081924,0.612559171597633
25,493,7,10,2025,0.00732020965407537,35,2050,0.0346092810997596,0.612559171597633
11,497,7,9,2025,0.00687552846241558,34,2050,0.0843452569950004,0.612544378698225
11,478,7,9,2025,0.00687552846241558,34,2050,0.0843452569950004,0.612544378698225
27,503,7,10,2025,0.00773654399383655,35,2050,0.069857999281176,0.612559171597633
21,473,7,10,2025,0.00839705484305105,35,2050,0.0490395579361913,0.612559171597633
27,478,7,10,2025,0.00751766515671083,35,2050,0.0376951620668897,0.612559171597633
27,463,7,10,2025,0.00754594698296065,35,2050,0.045172985870894,0.612559171597633
20,462,7,14,2025,0.00918149504429436,39,2050,0.0388266665204807,0.612618343195266
27,449,7,10,2025,0.012996972375727,35,2050,0.0582588837550571,0.612559171597633
25,381,7,10,2025,0.0101431645946371,35,2050,0.0629989507584998,0.612559171597633
2,531,8,10,2025,0.00903827953688273,35,2050,0.025788119463205,0.612559171597633
2,533,8,10,2025,0.00876164590825366,35,2050,0.0184790325410052,0.612559171597633
40,536,8,0,0,0,0,0,0,0.612618343195266
2,537,8,10,2025,0.00904311025348654,35,2050,0.0253691189369354,0.612559171597633
