ModelID,ScenarioID,TemperatureID,tkID,tkYr,tkUR,edID,edYr,edUR,maxUR
4,6,1,15,2025,0.0756936526768471,40,2050,0.18109252046061,0.612633136094675
4,15,1,15,2025,0.0756936526768471,40,2050,0.180676336575197,0.612633136094675
4,18,1,15,2025,0.0755328405556154,40,2050,0.182662453246841,0.612633136094675
4,19,1,15,2025,0.0756936526768471,40,2050,0.215718234202543,0.612633136094675
4,28,1,15,2025,0.0734467182560386,40,2050,0.192048483543184,0.612633136094675
7,37,1,0,0,0,0,0,0,0.612603550295858
20,1,1,13,2025,0.0366095816587505,38,2050,0.287910111435879,0.612603550295858
20,60,1,13,2025,0.0366095816587505,38,2050,0.29508429850201,0.612603550295858
4,47,1,15,2025,0.0756936526768471,40,2050,0.23235103171927,0.612633136094675
20,99,2,13,2025,0.0364888472780417,38,2050,0.228302091706248,0.612603550295858
4,48,2,15,2025,0.0726804904494484,40,2050,0.209915218140942,0.612633136094675
20,14,2,13,2025,0.0366095816587505,38,2050,0.281004658385093,0.612603550295858
20,41,2,13,2025,0.0366095816587505,38,2050,0.257928955060285,0.612603550295858
27,135,2,13,2025,0.0232525575670571,38,2050,0.125167473154343,0.612603550295858
4,137,2,15,2025,0.0749155874415675,40,2050,0.164687064386643,0.612633136094675
4,147,2,15,2025,0.0660576775917809,40,2050,0.274251482773765,0.612633136094675
4,60,2,15,2025,0.0726098479728196,40,2050,0.201161197530265,0.612633136094675
20,165,3,11,2025,0.0153602210449397,36,2050,0.256394364267446,0.612573964497041
20,158,3,13,2025,0.0366095816587505,38,2050,0.270021529046401,0.612603550295858
30,182,3,14,2025,0.0372423182316405,39,2050,0.260176753744976,0.612618343195266
20,195,3,13,2025,0.0347549780781878,38,2050,0.184857234198027,0.612603550295858
20,177,3,13,2025,0.0334285074899525,38,2050,0.179199680306905,0.612603550295858
20,152,3,11,2025,0.0153602210449397,36,2050,0.280967683595177,0.612573964497041
20,101,3,13,2025,0.0357708165875046,38,2050,0.20577032334673,0.612603550295858
20,184,3,11,2025,0.0153602210449397,36,2050,0.239505297771282,0.612573964497041
20,178,3,13,2025,0.0321549872122762,38,2050,0.175947789550603,0.612603550295858
20,192,3,13,2025,0.0364888472780417,38,2050,0.228302091706248,0.612603550295858
20,205,3,13,2025,0.0326616276945561,38,2050,0.176352228717574,0.612603550295858
20,172,3,13,2025,0.0355330836682499,38,2050,0.200218222506394,0.612603550295858
20,123,3,13,2025,0.0366095816587505,38,2050,0.28536656923639,0.612603550295858
20,197,4,11,2025,0.0153602210449397,36,2050,0.229670085860431,0.612573964497041
20,193,4,11,2025,0.0153602210449397,36,2050,0.196513006941907,0.612573964497041
20,320,4,13,2025,0.0297423273657289,38,2050,0.168434663865546,0.612603550295858
20,303,4,11,2025,0.0153602210449397,36,2050,0.172599853854585,0.612573964497041
20,308,4,11,2025,0.0153602210449397,36,2050,0.179537879064669,0.612573964497041
20,213,4,13,2025,0.0299003105590062,38,2050,0.170112787723785,0.612603550295858
20,305,4,13,2025,0.0286854219948849,38,2050,0.166240655827548,0.612603550295858
20,343,5,11,2025,0.0153602210449397,36,2050,0.163922816952868,0.612573964497041
20,324,5,13,2025,0.0268374497625137,38,2050,0.163191039459262,0.612603550295858
21,360,5,14,2025,0.0287232428297406,39,2050,0.0921610725132444,0.612618343195266
27,359,5,13,2025,0.0232525575670571,38,2050,0.118184957619257,0.612603550295858
20,304,5,11,2025,0.0153602210449397,36,2050,0.169086755571794,0.612573964497041
